Variety,GB Grade,Area (hectare),County,Producer
MARKIES,SE,7,Angus,Agrico UK Ltd
CARA,SE,1,Perth,IPM Potato Group Ltd
MARKIES,SE,6.3,Angus,Agrico UK Ltd
KINGSMAN,S,4,Perth,Cygnet Potato Breeders Ltd
CARA,SE,0.3,Perth,IPM Potato Group Ltd
HERMES,S,4.8,Perth,W Y Smith & Sons
INNOVATOR,S,1.2,Perth,McCain Potatoes
MANITOU,S,4.1,Perth,Agrico UK Ltd
HERMES,S,4.1,Perth,W Y Smith & Sons
LADY ROSETTA,S,1.7,Perth,Meijer Potato UK
CARA,SE,3.1,Perth,IPM Potato Group Ltd
MARFONA,S,3.4,Perth,Agrico UK Ltd
SHEPODY,S,3.8,Ross,McCain Potatoes
INNOVATOR,S,4.8,Ross,McCain Potatoes
SHEPODY,S,4.2,Ross,McCain Potatoes
TAURUS,PB,0.47,Ross,HZPC UK Limited
SAGITTA,PB,0.8,Ross,HZPC UK Limited
MELODY,PB,2.64,Ross,Meijer Potato UK
VIVALDI,PB,0.54,Ross,HZPC UK Limited
JAZZY,PB,2.48,Ross,Meijer Potato UK
PENTLAND DELL,PB,0.21,Ross,McCain Potatoes
ATHLETE,PB,0.23,Ross,Agrico UK Ltd
TRIPLE7,PB,0.1,Ross,HZPC UK Limited
MELODY,PB,1.82,Ross,Meijer Potato UK
JAZZY,PB,1.72,Ross,Meijer Potato UK
SAGITTA,PB,6.12,Ross,HZPC UK Limited
CARA,S,2.2,Perth,Thomas Clark & Sons
SHEPODY,PB,0.87,Ross,McCain Potatoes
CARA,S,3.8,Perth,Thomas Clark & Sons
IVORY RUSSET,PB,0.78,Ross,HZPC UK Limited
INNOVATOR,PB,0.9,Ross,McCain Potatoes
LADY ROSETTA,PB,2.18,Ross,Meijer Potato UK
TAURUS,PB,5.8,Ross,HZPC UK Limited
CARA,SE,3.5,Perth,Thomas Clark & Sons
LADY CLAIRE,PB,1.12,Ross,Meijer Potato UK
ROYAL,S,4.2,Ross,McCain Potatoes
MARIS PEER,S,1.8,Perth,Thomas Clark & Sons
JAZZY,PB,3.6,Ross,Meijer Potato UK
MARIS PEER,S,3.5,Perth,Thomas Clark & Sons
PENTLAND DELL,S,2.9,Ross,McCain Potatoes
CARA,SE,0.6,Perth,Thomas Clark & Sons
KING EDWARD,S,6.8,Perth,Thomas Clark & Sons
KING EDWARD,S,3.5,Perth,Thomas Clark & Sons
KING EDWARD,S,1.7,Perth,Thomas Clark & Sons
MARIS PIPER,S,1.7,Perth,Thomas Clark & Sons
MARIS PIPER,S,7.2,Perth,Thomas Clark & Sons
HERMES,SE,4.3,Perth,Thomas Clark & Sons
HERMES,S,3.7,Perth,Thomas Clark & Sons
TAURUS,PB,0.8,Ross,HZPC UK Limited
INNOVATOR,PB,0.28,Ross,McCain Potatoes
KING RUSSET,PB,0.94,Ross,McCain Potatoes
IVORY RUSSET,PB,0.53,Ross,HZPC UK Limited
ROYAL,S,1.1,Ross,McCain Potatoes
INNOVATOR,S,5,Ross,McCain Potatoes
ATHLETE,PB,1.3,Ross,Agrico UK Ltd
JAZZY,PB,0.54,Ross,Meijer Potato UK
LAURA,PB,0.37,Ross,Branston Ltd
MARIS PIPER,PB,0.23,Ross,Highland Potatoes Ltd
SHEPODY,S,6.3,Ross,McCain Potatoes
DAISY,PB,0.95,Ross,McCain Potatoes
ROYAL,PB,0.6,Ross,McCain Potatoes
SAPHIRE,PB,0.47,Ross,Stet UK Ltd for Branston Ltd
SAPHIRE,PB,0.65,Ross,Stet UK Ltd for Branston Ltd
LADY CLAIRE,PB,0.28,Ross,Meijer Potato UK
LADY ROSETTA,PB,0.28,Ross,Meijer Potato UK
VIVALDI,S,1.2,Ross,HZPC UK Limited
DAISY,S,8.1,Ross,McCain Potatoes
LADY ROSETTA,S,4.3,Angus,Meijer Potato UK
LADY ROSETTA,S,6.7,Angus,Meijer Potato UK
LADY ROSETTA,S,1.3,Angus,Meijer Potato UK
LADY ROSETTA,S,3.6,Angus,Meijer Potato UK
LADY ROSETTA,S,3.6,Angus,Meijer Potato UK
LADY ROSETTA,S,2.6,Angus,Meijer Potato UK
LADY ROSETTA,S,2.4,Angus,Meijer Potato UK
LADY TERRA,S,1.8,Angus,Meijer Potato UK
LADY TERRA,S,1.9,Angus,Meijer Potato UK
LADY TERRA,S,0.9,Angus,Meijer Potato UK
BURREN,S,0.7,Angus,IPM Potato Group Ltd
BURREN,SE,4.1,Angus,IPM Potato Group Ltd
ELECTRA,S,2.6,Angus,IPM Potato Group Ltd
TRIPLE7,PB,0.52,Ross,HZPC UK Limited
IVORY RUSSET,PB,0.31,Ross,HZPC UK Limited
SHEPODY,PB,0.1,Ross,McCain Potatoes
PENTLAND DELL,PB,0.04,Ross,McCain Potatoes
ROYAL,PB,0.08,Ross,McCain Potatoes
DAISY,PB,0.2,Ross,McCain Potatoes
KING RUSSET,PB,0.09,Ross,McCain Potatoes
SAPHIRE,PB,0.03,Ross,Stet UK Ltd for Branston Ltd
DAISY,PB,0.04,Ross,WCM Ltd for Germicopa UK Ltd
ATHLETE,PB,0.02,Ross,Agrico UK Ltd
INNOVATOR,S,0.3,Ross,McCain Potatoes
MARIS PIPER,PB,0.03,Ross,Highland Potatoes Ltd
LADY ROSETTA,S,0.1,Angus,Meijer Potato UK
LADY ROSETTA,S,1.1,Angus,Meijer Potato UK
LADY ROSETTA,S,3.3,Angus,Meijer Potato UK
PENTLAND DELL,S,10,Angus,Robert Watson & Sons
PENTLAND DELL,S,2,Angus,Robert Watson & Sons
PENTLAND DELL,SE,8,Angus,Robert Watson & Sons
JACKY,PB,0.26,Ross,Agrico UK Ltd
JACKY,PB,0.03,Ross,Agrico UK Ltd
LAURA,PB,0.12,Ross,Branston Ltd
MARIS PIPER,S,4,Angus,Robert Fleming & Co
HERMES,SE,11.5,Angus,IPM Potato Group Ltd
CARA,SE,17.8,Kincardine,IPM Potato Group Ltd
CARA,SE,6.5,Angus,IPM Potato Group Ltd
CARA,SE,2.4,Angus,IPM Potato Group Ltd
LADY ROSETTA,S,9.9,Perth,Meijer Potato UK
CARA,SE,2.7,Kincardine,IPM Potato Group Ltd
MARIS PEER,S,2.8,Perth,G L Smith & Son
CARA,SE,7.5,Kincardine,IPM Potato Group Ltd
ROOSTER,SE,4,Perth,IPM Potato Group Ltd
MARIS PIPER,S,4.8,Perth,G L Smith & Son
LADY ROSETTA,S,7.1,Perth,Meijer Potato UK
HERMES,S,3.5,Kincardine,IPM Potato Group Ltd
LADY ROSETTA,S,3.2,Perth,Meijer Potato UK
HERMES,SE,1.5,Kincardine,IPM Potato Group Ltd
FANDANGO,S,1,Kincardine,IPM Potato Group Ltd
FANDANGO,SE,4.8,Kincardine,IPM Potato Group Ltd
HERMES,SE,8.5,Angus,IPM Potato Group Ltd
CARA,S,1.9,Angus,IPM Potato Group Ltd
CARA,S,1.9,Angus,IPM Potato Group Ltd
BABY LOU,S,1.2,Perth,Solana Seeds United Kingdom Ltd
ARSENAL,S,0.9,Angus,Agrico UK Ltd
ARSENAL,S,3.1,Angus,Agrico UK Ltd
ARSENAL,S,2.8,Angus,Agrico UK Ltd
HERMES,S,10.8,Perth,G L Smith & Son
MARIS PIPER,SE,12,Perth,G L Smith & Son
HERMES,S,4.4,Perth,G L Smith & Son
INNOVATOR,S,8.8,Perth,HZPC UK Limited
INNOVATOR,S,3.6,Perth,HZPC UK Limited
INNOVATOR,S,1.5,Perth,HZPC UK Limited
ROYAL,S,3.7,Perth,McCain Potatoes
MARIS PIPER,SE,3,Perth,G L Smith & Son
HERMES,S,1,Perth,G L Smith & Son
MARIS PIPER,S,7,Perth,G L Smith & Son
MARIS PIPER,S,3.2,Perth,G L Smith & Son
MARKIES,S,5.1,Perth,Agrico UK Ltd
MARKIES,SE,1.3,Perth,Agrico UK Ltd
FONTANE,S,0.7,Perth,Agrico UK Ltd
FONTANE,SE,3.7,Perth,Agrico UK Ltd
PICASSO,S,0.6,Perth,Agrico UK Ltd
PICASSO,S,2.3,Perth,Agrico UK Ltd
MELODY,PB,0.26,Ross,Meijer Potato UK
JAZZY,PB,0.2,Ross,Meijer Potato UK
LADY CLAIRE,PB,0.2,Ross,Meijer Potato UK
MARKIES,S,0.9,Perth,Agrico UK Ltd
LADY ALICIA,PB,0.13,Ross,Meijer Potato UK
LADY ROSETTA,PB,0.26,Ross,Meijer Potato UK
MARKIES,SE,0.4,Perth,Agrico UK Ltd
LADY ALICIA,PB,1.38,Ross,Meijer Potato UK
ROOSTER,S,0.7,Perth,IPM Potato Group Ltd
HERMES,S,2.6,Perth,G L Smith & Son
INNOVATOR,S,12,Perth,HZPC UK Limited
ROYAL,S,6.5,Perth,McCain Potatoes
MARIS PEER,S,3.4,Perth,G L Smith & Son
MARIS PIPER,S,6,Perth,G L Smith & Son
HERMES,S,2,Perth,G L Smith & Son
VIVALDI,S,4.4,Sutherland,HZPC UK Limited
VIVALDI,S,5,Sutherland,HZPC UK Limited
EUROSTAR,S,1.6,Sutherland,Stet Potato Ltd
HERMES,S,0.1,Kincardine,The Firm of D M Cargill
DUNBAR STANDARD,S,0.1,Dumfries,J U McKeen
SPUNTA,S,0.1,Kincardine,The Firm of D M Cargill
ROYAL,S,4,Angus,McCain Potatoes
ROYAL,S,0.7,Angus,McCain Potatoes
MANHATTAN,S,3.8,Angus,Cygnet Potato Breeders Ltd
ELLAND,S,4.7,Angus,Cygnet Potato Breeders Ltd
GEMSON,S,3,Angus,Grampian Growers
GEMSON,S,0.5,Angus,Grampian Growers
RED CARA,SE,6,Angus,IPM Potato Group Ltd
RED CARA,S,1,Angus,IPM Potato Group Ltd
ELECTRA,S,0.3,Angus,IPM Potato Group Ltd
INNOVATOR,S,1.2,Angus,McCain Potatoes
ELECTRA,SE,2,Angus,IPM Potato Group Ltd
INNOVATOR,S,0.4,Angus,McCain Potatoes
MARIS PIPER,SE,2.1,Angus,T H Lawson & Sons
MARIS PIPER,S,0.4,Angus,T H Lawson & Sons
INNOVATOR,S,5.3,Angus,McCain Potatoes
MARIS PIPER,S,14,Angus,Vinny Farms Ltd
MARIS PIPER,SE,1,Angus,T H Lawson & Sons
CARA,S,0.5,Angus,Grampian Growers
MARIS PIPER,S,9,Angus,Vinny Farms Ltd
MARIS PIPER,S,3.5,Angus,Vinny Farms Ltd
CARA,E,2.5,Angus,Grampian Growers
MARIS PIPER,S,11,Angus,Vinny Farms Ltd
MARIS PIPER,S,2.5,Angus,Vinny Farms Ltd
INNOVATOR,SE,0.3,Angus,McCain Potatoes
ROYAL,S,4.2,Angus,McCain Potatoes
MARIS PIPER,S,7.4,Angus,Vinny Farms Ltd
DAISY,S,8,Angus,McCain Potatoes
DAISY,S,1,Angus,McCain Potatoes
CARA,S,0.2,Kincardine,The Firm of D M Cargill
SPUNTA,S,0.4,Kincardine,The Firm of D M Cargill
SPUNTA,S,2.2,Kincardine,The Firm of D M Cargill
HERMES,S,0.5,Kincardine,The Firm of D M Cargill
HERMES,S,5,Kincardine,The Firm of D M Cargill
HERMES,SE,3.6,Angus,C & L Wylie
HERMES,S,4.8,Angus,C & L Wylie
CARA,S,2.8,Angus,C & L Wylie
ARCADE,S,1.5,Angus,Mercian Limited
GALACTICA,SE,1.6,Angus,IPM Potato Group Ltd
LADY TERRA,S,0.6,Angus,Meijer Potato UK
SORAYA,S,3.6,Angus,Cullen Allen Ltd
PENTLAND JAVELIN,SE,2,Angus,C & L Wylie
PENTLAND JAVELIN,SE,3,Angus,C & L Wylie
PENTLAND JAVELIN,S,1,Angus,C & L Wylie
SORAYA,S,0.8,Angus,Cullen Allen Ltd
ACOUSTIC,S,1,Angus,Meijer Potato UK
HERMES,S,1.2,Angus,C & L Wylie
LADY TERRA,S,2.4,Angus,Meijer Potato UK
SLANEY,S,0.8,Angus,IPM Potato Group Ltd
ARCADE,S,0.1,Angus,Mercian Limited
MARKIES,S,0.6,Perth,Agrico UK Ltd
MARKIES,S,2.6,Perth,Agrico UK Ltd
HERMES,SE,0.8,Angus,C & L Wylie
MARIS PIPER,SE,5.2,Perth,G L Smith & Son
MARIS PIPER,SE,1,Perth,G L Smith & Son
MARIS PIPER,S,6,East Lothian,J & W Jenkinson
MARIS PIPER,S,5.5,East Lothian,J & W Jenkinson
CARA,SE,8.2,East Lothian,J & W Jenkinson
MARIS PIPER,S,8,East Lothian,J & W Jenkinson
MARIS PIPER,S,3.9,East Lothian,J & W Jenkinson
MARIS PIPER,S,1.1,East Lothian,J & W Jenkinson
ARCADE,SE,5.6,Angus,Mercian Limited
CARA,SE,4.3,East Lothian,J & W Jenkinson
PENTLAND JAVELIN,S,0.1,Angus,C & L Wylie
KING EDWARD,S,5,Angus,A & F Growers
CARA,SE,2.5,Angus,A & F Growers
PICASSO,E,5.4,Angus,Agrico UK Ltd
PICASSO,S,1.2,Angus,Agrico UK Ltd
CARA,SE,1.1,Angus,A & F Growers
MARIS PIPER,S,1.1,Angus,A & F Growers
CARA,SE,0.8,Angus,A & F Growers
BANBA,S,0.8,Angus,IPM Potato Group Ltd
HERMES,S,3.2,Angus,A & F Growers
MARIS PIPER,S,3,Angus,A & F Growers
MARIS PIPER,S,4.1,Angus,A & F Growers
MARIS PIPER,S,1.9,Angus,A & F Growers
HERMES,S,0.7,Angus,A & F Growers
COMMANDO,S,0.9,Angus,IPM Potato Group Ltd
ELECTRA,S,1.1,Angus,IPM Potato Group Ltd
ESTIMA,S,1.3,Angus,A & F Growers
COMMANDO,SE,3.8,Angus,IPM Potato Group Ltd
HERMES,S,1.7,Angus,A & F Growers
CARA,S,8.2,Kincardine,The Firm of D M Cargill
CARA,S,2.5,Kincardine,The Firm of D M Cargill
CARA,S,11.5,Kincardine,The Firm of D M Cargill
MARIS PIPER,S,6.3,Angus,Jaytee Farms Limited
MARIS PIPER,S,6.8,Angus,Jaytee Farms Limited
MARIS PIPER,S,7.8,Angus,Jaytee Farms Limited
MARIS PIPER,S,8.1,Angus,Jaytee Farms Limited
MARIS PIPER,S,0.5,Angus,Jaytee Farms Limited
RUSSET BURBANK,S,7.2,Angus,McCain Potatoes
MARIS PIPER,S,5.5,Angus,Jaytee Farms Limited
MARIS PIPER,S,1.7,Angus,Jaytee Farms Limited
RUSSET BURBANK,S,2.9,Angus,McCain Potatoes
ROOSTER,S,0.6,Angus,IPM Potato Group Ltd
NECTAR,S,2,Angus,IPM Potato Group Ltd
SAXON,S,1.1,Angus,Cygnet Potato Breeders Ltd
SAXON,S,3.2,Angus,Cygnet Potato Breeders Ltd
KINGSMAN,S,1.6,Angus,Cygnet Potato Breeders Ltd
ROOSTER,SE,4.3,Angus,IPM Potato Group Ltd
ROYAL,S,7,Kincardine,McCain Potatoes
PENTLAND DELL,S,3.9,Kincardine,R F Russell
MARIS PIPER,S,3.8,Angus,A & F Growers
DESIREE,S,1.3,Angus,A & F Growers
LADY ROSETTA,S,3.6,Kincardine,Meijer Potato UK
DESIREE,S,3.6,Angus,A & F Growers
DRUID,S,2.4,Angus,IPM Potato Group Ltd
LADY ROSETTA,S,5.6,Kincardine,Meijer Potato UK
ELECTRA,SE,4.9,Angus,IPM Potato Group Ltd
LADY ROSETTA,S,5.7,Kincardine,Meijer Potato UK
CARA,S,1,Angus,IPM Potato Group Ltd
CARA,SE,3.3,Angus,IPM Potato Group Ltd
BANBA,SE,3.9,Angus,IPM Potato Group Ltd
CARUSO,S,0.5,Angus,Solana Seeds United Kingdom Ltd
HARRY,S,0.7,Kincardine,Cullen Allen Ltd
HARRY,S,1.1,Kincardine,Cullen Allen Ltd
INNOVATOR,SE,3.4,Kincardine,McCain Potatoes
INNOVATOR,SE,4.5,Kincardine,McCain Potatoes
PENTLAND DELL,S,4.4,Kincardine,R F Russell
MARIS PIPER,S,0.2,Sutherland,Messrs W O Gordon Bindal & Co
EUROSTAR,S,4.9,Sutherland,Stet Potato Ltd
EUROSTAR,S,2,Sutherland,Stet Potato Ltd
MARIS PIPER,S,3.1,Sutherland,Messrs W O Gordon Bindal & Co
ROOSTER,S,0.6,Perth,IPM Potato Group Ltd
ROOSTER,SE,3.2,Perth,IPM Potato Group Ltd
MARIS PIPER,SE,7.7,Perth,Alexander Bayne & Son
MARIS PIPER,SE,10.1,Perth,Alexander Bayne & Son
MARIS PIPER,S,7.2,Perth,Alexander Bayne & Son
MARIS PIPER,S,4.2,Perth,Alexander Bayne & Son
MARIS PIPER,S,3.8,Perth,Alexander Bayne & Son
PREMIERE,S,4.2,Perth,J & E Smillie (Growers) Ltd
MARIS PIPER,S,4.8,Perth,J & E Smillie (Growers) Ltd
MARABEL,S,3.8,Perth,Albert Bartlett & Sons (Airdrie) Ltd
INTERNATIONAL KIDNEY,S,1.3,Perth,J & E Smillie (Growers) Ltd
ALEXANDRA,SE,2.9,Perth,Albert Bartlett & Sons (Airdrie) Ltd
MARFONA,S,2.1,Perth,J & E Smillie (Growers) Ltd
MARFONA,S,1.1,Perth,J & E Smillie (Growers) Ltd
MARFONA,SE,5.7,Perth,J & E Smillie (Growers) Ltd
SWIFT,S,0.7,Perth,Caledonia Potatoes Ltd
SWIFT,S,3.5,Perth,Caledonia Potatoes Ltd
MARVEL,E,1.6,Perth,Caledonia Potatoes Ltd
PENTLAND DELL,SE,2.2,Angus,J & M Mackie
PENTLAND DELL,S,9.5,Angus,J & M Mackie
KING EDWARD,S,5.4,Angus,A & F Growers
MARIS PIPER,SE,3.3,Angus,A & F Growers
MARIS PIPER,S,10.4,Angus,A & F Growers
MARIS PEER,S,4.2,Angus,A & F Growers
MARIS PIPER,S,14.5,Angus,A & F Growers
DESIREE,S,1,Angus,A & F Growers
DESIREE,S,4.4,Angus,A & F Growers
MARIS PIPER,SE,3.7,Angus,A & F Growers
MARIS PIPER,SE,17,Kincardine,A & F Growers
MARIS PEER,S,1.8,Angus,A & F Growers
MARIS PEER,S,5,Angus,A & F Growers
CARA,SE,4.4,Angus,IPM Potato Group Ltd
CARA,S,0.8,Angus,IPM Potato Group Ltd
CULTRA,S,4.1,Angus,Cullen Allen Ltd
CULTRA,S,1.3,Angus,Cullen Allen Ltd
SORAYA,S,1,Angus,Cullen Allen Ltd
CULTRA,S,4.1,Angus,Cullen Allen Ltd
ARSENAL,S,3.8,Angus,Agrico UK Ltd
SPUNTA,S,0.4,Kincardine,The Firm of D M Cargill
ARSENAL,S,0.7,Angus,Agrico UK Ltd
PICASSO,S,0.6,Angus,Agrico UK Ltd
PICASSO,S,2.5,Angus,Agrico UK Ltd
ALANIS,SE,2.5,Angus,Cygnet Potato Breeders Ltd
INNOVATOR,S,3.2,Angus,McCain Potatoes
INNOVATOR,S,0.7,Angus,McCain Potatoes
ROYAL,S,10.9,Angus,McCain Potatoes
MARIS PIPER,S,5.3,Angus,A & F Growers
MARIS PEER,S,1.5,Angus,A & F Growers
KINGSMAN,S,4,Fife,Cygnet Potato Breeders Ltd
MARIS PEER,S,2.8,Angus,A & F Growers
MARIS PEER,S,1.3,Angus,A & F Growers
CABARET,S,2.8,Fife,Cygnet Potato Breeders Ltd
MARIS PEER,S,4.5,Angus,A & F Growers
SAXON,S,2.3,Fife,Cygnet Potato Breeders Ltd
MARIS PIPER,S,4.8,Angus,A & F Growers
MARIS PIPER,S,3,Angus,A & F Growers
SAXON,S,0.8,Fife,Cygnet Potato Breeders Ltd
SAXON,S,1.6,Fife,Cygnet Potato Breeders Ltd
SAXON,S,2.9,Fife,Cygnet Potato Breeders Ltd
